Title,Image,Price,Discount,Special Price,Link,Rating
"Fire-Boltt Phoenix Pro 35.3mm (1.39 inch) Bluetooth Calling Smart Watch, AI Voice Assistant, Metal Body with 120+ Sports Modes, SpO2, Heart Rate Monitoring (Silver Grey)",https://m.media-amazon.com/images/I/41n7XAvtKhL._SL160_.jpg,11999,90%,1199,https://dealsheaven.in/deal/fire-boltt-phoenix-pro-353mm-139-inch-bluetooth-calling-smart-watch-ai-voice-assistant-metal-body-with-120-sports-modes-spo2-heart-rate-monitoring-silver-grey,0.0
"Gesto 40 Meter Rope Led Strip Lights – Outdoor Lights Waterproof for Balcony Decoration,Home Decor & Diwali Decoration| RGB Strip Light for Diwali Decoration with Mode Change Controller (Multicolor)",https://m.media-amazon.com/images/I/51BDEMEO5KL._SL160_.jpg,8999,76%,2099,https://dealsheaven.in/deal/gesto-40-meter-rope-led-strip-lights-outdoor-lights-waterproof-for-balcony-decorationhome-decor-diwali-decoration-rgb-strip-light-for-diwali-decoration-with-mode-change-controller-multicolor,0.0
"[Bank offer] ECOVACS Deebot Y1 PRO 2-in-1 Robot Vacuum Cleaner, 2024 New Launch, 6500 Pa Powerful Suction, 5200 mAh Battery, Covers 3500+ Sq. Ft. in One Charge, Advanced Navigation Technology & True Mapping",https://m.media-amazon.com/images/I/31dQykYfKJL._SL160_.jpg,59900,68%,18749,https://dealsheaven.in/deal/ecovacs-deebot-y1-pro-2-in-1-robot-vacuum-cleaner-2024-new-launch-6500-pa-powerful-suction-5200-mah-battery-covers-3500-sq-ft-in-one-charge-advanced-navigation-technology-true-mapping,0.0
"Havells Carlo 3 Litre Wall Mount Instant Water Heater|Twin Indicator,Rust And Shock Proof,Isi Certified,Ss Tank|Fire Retardant Power Cord,Warranty: 5 Year On Inner Tank&2 Year Comprehensive|(White)",https://m.media-amazon.com/images/I/3103+OmsSOL._SL160_.jpg,5575,49%,2799,https://dealsheaven.in/deal/havells-carlo-3-litre-instant-water-heater-white-blue,0.0
"Hamilton Beach 3-in-1 Steam Iron for Clothes, Garment Steamer with 5 Fabric Settings, Steam Iron, Easy Glide Nonstick Soleplate, Iron Press, Steamer for Clothes, Travel Iron, Iron Box with Steamer",https://m.media-amazon.com/images/I/41NFx0xxghL._SL160_.jpg,3999,45%,2199,https://dealsheaven.in/deal/hamilton-beach-3-in-1-steam-iron-for-clothes-garment-steamer-with-5-fabric-settings-steam-iron-easy-glide-nonstick-soleplate-iron-press-steamer-for-clothes-travel-iron-iron-box-with-steamer,0.0
"iBELL Inverter ARC Welding Machine (IGBT) 220A with Hot Start, Anti-Stick Functions, Arc Force Control - 2 Year Warranty…",https://m.media-amazon.com/images/I/51IBsnagHDL._SL160_.jpg,10700,39%,6515,https://dealsheaven.in/deal/ibell-inverter-arc-welding-machine-igbt-220a-with-hot-start-anti-stick-functions-arc-force-control-2-year-warranty,0.0
"[Coupon + bank offer] Godrej 7 Kg 5 Star, With AI Tech, I-Sense Technology Fully-Automatic Front Load Washing Machine (2024 Model, WFEON CRS 7010 5.0 FKEDM GLWH, Inbuilt Heater and FabriSafe™ Drum, Glacial White)",https://m.media-amazon.com/images/I/41tjaorPiUL._SL160_.jpg,46500,50%,22832,https://dealsheaven.in/deal/godrej-7-kg-5-star-with-ai-tech-i-sense-technology-fully-automatic-front-load-washing-machine-2024-model-wfeon-crs-7010-50-fkedm-glwh-inbuilt-heater-and-fabrisafe-drum-glacial-white,0.0
wipro Safari Emergency Rechargeable Led Lantern with 7200 Mah Battery | 122 Individual Led Lights | Brightness Control Feature | in- Built Mobile Charging Point|15 Watt (Pack of 1) White,https://m.media-amazon.com/images/I/41Nvs2NibLL._SL160_.jpg,2590,31%,1779,https://dealsheaven.in/deal/wipro-safari-emergency-rechargeable-led-lantern-with-7200-mah-battery-122-individual-led-lights-brightness-control-feature-in-built-mobile-charging-point15-watt-pack-of-1,0.0
"[Coupon + Bank EMI ] LG 655 L Frost-Free Inverter Side-By-Side Refrigerator (2023 Model, GL-B257HDSY, Dazzle Steel, Express Freeze | Multi Air-Flow)",https://m.media-amazon.com/images/I/319vFdKte1L._SL160_.jpg,120699,50%,59490,https://dealsheaven.in/deal/lg-655-l-frost-free-inverter-side-by-side-refrigerator-2023-model-gl-b257hdsy-dazzle-steel-express-freeze-multi-air-flow,0.0
Fossil Gen 6 Smartwatch Digital Black Dial Men's Watch-FTW4060,https://m.media-amazon.com/images/I/31lb-PBx05L._SL160_.jpg,24995,62%,9495,https://dealsheaven.in/deal/fossil-gen-6-smartwatch-digital-black-dial-mens-watch-ftw4060,0.0
